Account Name,Address,City,State,Zip,Contact,Phone,Last Order Date,Notes
Daniel,60 E 65th St,New York,NY,10065,Erin Healy,,2026-05-20,A account - UES fine dining
Eleven Madison Park,11 Madison Ave,New York,NY,10010,Brady Brown,,2026-05-18,A account - Flatiron fine dining
Le Bernardin,155 W 51st St,New York,NY,10019,Aldo Sohm,,2026-05-25,A account - Midtown. Top Burgundy buyer
Frenchette,241 W Broadway,New York,NY,10013,Jorge,,2026-05-22,A account - West Village bistro. Loire and Burgundy
Chambers Street Wines,148 Chambers St,New York,NY,10007,Eben Lillie,,2026-05-15,A account - Tribeca wine shop. Natural and classic
Atomix,104 E 30th St,New York,NY,10016,Jhonel Faelnar,,2026-04-10,A account - Midtown. Korean fine dining
Blue Hill,75 Washington Pl,New York,NY,10011,Oriana,,2026-05-08,A account - Greenwich Village. Farm-to-table
King,18 King St,New York,NY,10014,Annie,,2025-12-01,A account - lapsed buyer needs follow-up
Balthazar,80 Spring St,New York,NY,10012,Rebecca Banks,,2026-04-28,B account - Soho brasserie. French classics
The Four Horsemen,295 Grand St,Brooklyn,NY,11211,Will Piper,,2026-05-24,A account - Williamsburg. Jura and skin-contact
Lilia,567 Union Ave,Brooklyn,NY,11211,Steven,,2026-05-20,A account - Williamsburg. Italian focused - Etna rosso
Brooklyn Wine Exchange,138 Court St,Brooklyn,NY,11201,Thomas Stemrich,,2026-05-12,A account - Cobble Hill wine shop
Roman's,243 DeKalb Ave,Brooklyn,NY,11205,Alessandra,,2026-03-15,A account - Prospect Heights Italian
Gage & Tollner,372 Fulton St,Brooklyn,NY,11201,Evan Major,,2025-09-10,C account - Downtown BK steakhouse. Lapsed
Maison Premiere,298 Bedford Ave,Brooklyn,NY,11249,Krystof Zizka,,,,C account - Williamsburg. Prospect - oyster bar adding wine
